word,english,first_person_present_singular,second_person_present_singular,third_person_present_singular,first_person_present_plural,second_person_present_plural,third_person_present_plural,first_person_future_singular_i,second_person_future_singular_i,third_person_future_singular_i,first_person_future_plural_i,second_person_future_plural_i,third_person_future_plural_i,first_person_future_singular_ii,second_person_future_singular_ii,third_person_future_singular_ii,first_person_future_plural_ii,second_person_future_plural_ii,third_person_future_plural_ii,first_person_past_perfect_singular,second_person_past_perfect_singular,third_person_past_perfect_singular,first_person_past_perfect_plural,second_person_past_perfect_plural,third_person_past_perfect_plural,first_person_past_pluperfect_singular,second_person_past_pluperfect_singular,third_person_past_pluperfect_singular,first_person_past_pluperfect_plural,second_person_past_pluperfect_plural,third_person_past_pluperfect_plural,first_person_past_imperfect_singular,second_person_past_imperfect_singular,third_person_past_imperfect_singular,first_person_past_imperfect_plural,second_person_past_imperfect_plural,third_person_past_imperfect_plural,first_person_past_aorist_singular,second_person_past_aorist_singular,third_person_past_aorist_singular,first_person_past_aorist_plural,second_person_past_aorist_plural,third_person_past_aorist_plural,first_person_conditional_i_singular,second_person_conditional_i_singular,third_person_conditional_i_singular,first_person_conditional_i_plural,second_person_conditional_i_plural,third_person_conditional_i_plural,first_person_conditional_ii_singular,second_person_conditional_ii_singular,third_person_conditional_ii_singular,first_person_conditional_ii_plural,second_person_conditional_ii_plural,third_person_conditional_ii_plural,first_person_imperative_singular,first_person_imperative_plural,second_person_imperative_plural
podgrejati,to warm,podgrejem,podgreješ,podgreje,podgrejemo,podgrejete,podgreju,podgrejat ću,podgrejat ćeš,podgrejat će,podgrejat ćemo,podgrejat ćete,podgrejat će,budem podgrejao,budeš podgrejao,bude podgrejao,budemo podgrejali,budete podgrejali,budu podgrejali,podgrejao sam,podgrejao si,podgrejao je,podgrejali smo,podgrejali ste,podgrejali su,bio sam podgrejao,bio si podgrejao,bio je podgrejao,bili smo podgrejali,bili ste podgrejali,bili su podgrejali,,,,,,,podgrejah,podgreja,podgreja,podgrejasmo,podgrejaste,podgrejaše,podgrejao bih,podgrejao bi,podgrejao bi,podgrejali bismo,podgrejali biste,podgrejali bi,bio bih podgrejao,bio bi podgrejao,bio bi podgrejao,bili bismo podgrejali,bili biste podgrejali,bili bi podgrejali,podgrej,podgrejmo,podgrejte
podgrejavati,to warm,podgrejavam,podgrejavaš,podgrejava,podgrejavamo,podgrejavate,podgrejavaju,podgrejavat ću,podgrejavat ćeš,podgrejavat će,podgrejavat ćemo,podgrejavat ćete,podgrejavat će,budem podgrejavao,budeš podgrejavao,bude podgrejavao,budemo podgrejavali,budete podgrejavali,budu podgrejavali,podgrejavao sam,podgrejavao si,podgrejavao je,podgrejavali smo,podgrejavali ste,podgrejavali su,bio sam podgrejavao,bio si podgrejavao,bio je podgrejavao,bili smo podgrejavali,bili ste podgrejavali,bili su podgrejavali,podgrejavah,podgrejavaše,podgrejavaše,podgrejavasmo,podgrejavaste,podgrejavahu,,,,,,,podgrejavao bih,podgrejavao bi,podgrejavao bi,podgrejavali bismo,podgrejavali biste,podgrejavali bi,bio bih podgrejavao,bio bi podgrejavao,bio bi podgrejavao,bili bismo podgrejavali,bili biste podgrejavali,bili bi podgrejavali,podgrejavaj,podgrejavajmo,podgrejavajte
podgrijati,to warm,podgrijem,podgriješ,podgrije,podgrijemo,podgrijete,podgriju,podgrijat ću,podgrijat ćeš,podgrijat će,podgrijat ćemo,podgrijat ćete,podgrijat će,budem podgrijao,budeš podgrijao,bude podgrijao,budemo podgrijali,budete podgrijali,budu podgrijali,podgrijao sam,podgrijao si,podgrijao je,podgrijali smo,podgrijali ste,podgrijali su,bio sam podgrijao,bio si podgrijao,bio je podgrijao,bili smo podgrijali,bili ste podgrijali,bili su podgrijali,,,,,,,podgrijah,podgrija,podgrija,podgrijasmo,podgrijaste,podgrijaše,podgrijao bih,podgrijao bi,podgrijao bi,podgrijali bismo,podgrijali biste,podgrijali bi,bio bih podgrijao,bio bi podgrijao,bio bi podgrijao,bili bismo podgrijali,bili biste podgrijali,bili bi podgrijali,podgrij,podgrijmo,podgrijte
podgrijavati,to warm,podgrijavam,podgrijavaš,podgrijava,podgrijavamo,podgrijavate,podgrijavaju,podgrijavat ću,podgrijavat ćeš,podgrijavat će,podgrijavat ćemo,podgrijavat ćete,podgrijavat će,budem podgrijavao,budeš podgrijavao,bude podgrijavao,budemo podgrijavali,budete podgrijavali,budu podgrijavali,podgrijavao sam,podgrijavao si,podgrijavao je,podgrijavali smo,podgrijavali ste,podgrijavali su,bio sam podgrijavao,bio si podgrijavao,bio je podgrijavao,bili smo podgrijavali,bili ste podgrijavali,bili su podgrijavali,podgrijavah,podgrijavaše,podgrijavaše,podgrijavasmo,podgrijavaste,podgrijavahu,,,,,,,podgrijavao bih,podgrijavao bi,podgrijavao bi,podgrijavali bismo,podgrijavali biste,podgrijavali bi,bio bih podgrijavao,bio bi podgrijavao,bio bi podgrijavao,bili bismo podgrijavali,bili biste podgrijavali,bili bi podgrijavali,podgrijavaj,podgrijavajmo,podgrijavajte
podijeliti,to divide,podijelim,podijeliš,podijeli,podijelimo,podijelite,podijele,podijelit ću,podijelit ćeš,podijelit će,podijelit ćemo,podijelit ćete,podijelit će,budem podijelio,budeš podijelio,bude podijelio,budemo podijelili,budete podijelili,budu podijelili,podijelio sam,podijelio si,podijelio je,podijelili smo,podijelili ste,podijelili su,bio sam podijelio,bio si podijelio,bio je podijelio,bili smo podijelili,bili ste podijelili,bili su podijelili,,,,,,,podijelih,podijeli,podijeli,podijelismo,podijeliste,podijeliše,podijelio bih,podijelio bi,podijelio bi,podijelili bismo,podijelili biste,podijelili bi,bio bih podijelio,bio bi podijelio,bio bi podijelio,bili bismo podijelili,bili biste podijelili,bili bi podijelili,podijeli,podijelimo,podijelite
podilaziti,to sneakily pass under,podilazim,podilaziš,podilazi,podilazimo,podilazite,podilaze,podilazit ću,podilazit ćeš,podilazit će,podilazit ćemo,podilazit ćete,podilazit će,budem podilazio,budeš podilazio,bude podilazio,budemo podilazili,budete podilazili,budu podilazili,podilazio sam,podilazio si,podilazio je,podilazili smo,podilazili ste,podilazili su,bio sam podilazio,bio si podilazio,bio je podilazio,bili smo podilazili,bili ste podilazili,bili su podilazili,podilažah,podilažaše,podilažaše,podilažasmo,podilažaste,podilažahu,,,,,,,podilazio bih,podilazio bi,podilazio bi,podilazili bismo,podilazili biste,podilazili bi,bio bih podilazio,bio bi podilazio,bio bi podilazio,bili bismo podilazili,bili biste podilazili,bili bi podilazili,podilazi,podilazimo,podilazite
podizati,to raise,podižem,podižeš,podiže,podižemo,podižete,podižu,podizat ću,podizat ćeš,podizat će,podizat ćemo,podizat ćete,podizat će,budem podizao,budeš podizao,bude podizao,budemo podizali,budete podizali,budu podizali,podizao sam,podizao si,podizao je,podizali smo,podizali ste,podizali su,bio sam podizao,bio si podizao,bio je podizao,bili smo podizali,bili ste podizali,bili su podizali,podizah,podizaše,podizaše,podizasmo,podizaste,podizahu,,,,,,,podizao bih,podizao bi,podizao bi,podizali bismo,podizali biste,podizali bi,bio bih podizao,bio bi podizao,bio bi podizao,bili bismo podizali,bili biste podizali,bili bi podizali,podiži,podižimo,podižite
podići,to raise,podignem,podigneš,podigne,podignemo,podignete,podignu,podići ću,podići ćeš,podići će,podići ćemo,podići ćete,podići će,budem podigao,budeš podigao,bude podigao,budemo podigli,budete podigli,budu podigli,podigao sam,podigao si,podigao je,podigli smo,podigli ste,podigli su,bio sam podigao,bio si podigao,bio je podigao,bili smo podigli,bili ste podigli,bili su podigli,,,,,,,podignuh,podignu,podignu,podignusmo,podignuste,podignuše,podigao bih,podigao bi,podigao bi,podigli bismo,podigli biste,podigli bi,bio bih podigao,bio bi podigao,bio bi podigao,bili bismo podigli,bili biste podigli,bili bi podigli,podigni,podignimo,podignite
podičiti,to take pride in,podičim,podičiš,podiči,podičimo,podičite,podiče,podičit ću,podičit ćeš,podičit će,podičit ćemo,podičit ćete,podičit će,budem podičio,budeš podičio,bude podičio,budemo podičili,budete podičili,budu podičili,podičio sam,podičio si,podičio je,podičili smo,podičili ste,podičili su,bio sam podičio,bio si podičio,bio je podičio,bili smo podičili,bili ste podičili,bili su podičili,,,,,,,podičih,podiči,podiči,podičismo,podičiste,podičiše,podičio bih,podičio bi,podičio bi,podičili bismo,podičili biste,podičili bi,bio bih podičio,bio bi podičio,bio bi podičio,bili bismo podičili,bili biste podičili,bili bi podičili,podiči,podičimo,podičite
podjarmiti,to subjugate,podjarmim,podjarmiš,podjarmi,podjarmimo,podjarmite,podjarme,podjarmit ću,podjarmit ćeš,podjarmit će,podjarmit ćemo,podjarmit ćete,podjarmit će,budem podjarmio,budeš podjarmio,bude podjarmio,budemo podjarmili,budete podjarmili,budu podjarmili,podjarmio sam,podjarmio si,podjarmio je,podjarmili smo,podjarmili ste,podjarmili su,bio sam podjarmio,bio si podjarmio,bio je podjarmio,bili smo podjarmili,bili ste podjarmili,bili su podjarmili,,,,,,,podjarmih,podjarmi,podjarmi,podjarmismo,podjarmiste,podjarmiše,podjarmio bih,podjarmio bi,podjarmio bi,podjarmili bismo,podjarmili biste,podjarmili bi,bio bih podjarmio,bio bi podjarmio,bio bi podjarmio,bili bismo podjarmili,bili biste podjarmili,bili bi podjarmili,podjarmi,podjarmimo,podjarmite
podjarmljivati,to subjugate,podjarmljujem,podjarmljuješ,podjarmljuje,podjarmljujemo,podjarmljujete,podjarmljuju,podjarmljivat ću,podjarmljivat ćeš,podjarmljivat će,podjarmljivat ćemo,podjarmljivat ćete,podjarmljivat će,budem podjarmljivao,budeš podjarmljivao,bude podjarmljivao,budemo podjarmljivali,budete podjarmljivali,budu podjarmljivali,podjarmljivao sam,podjarmljivao si,podjarmljivao je,podjarmljivali smo,podjarmljivali ste,podjarmljivali su,bio sam podjarmljivao,bio si podjarmljivao,bio je podjarmljivao,bili smo podjarmljivali,bili ste podjarmljivali,bili su podjarmljivali,podjarmljivah,podjarmljivaše,podjarmljivaše,podjarmljivasmo,podjarmljivaste,podjarmljivahu,,,,,,,podjarmljivao bih,podjarmljivao bi,podjarmljivao bi,podjarmljivali bismo,podjarmljivali biste,podjarmljivali bi,bio bih podjarmljivao,bio bi podjarmljivao,bio bi podjarmljivao,bili bismo podjarmljivali,bili biste podjarmljivali,bili bi podjarmljivali,podjarmljuj,podjarmljujmo,podjarmljujte
podmazati,to lubricate,podmažem,podmažeš,podmaže,podmažemo,podmažete,podmažu,podmazat ću,podmazat ćeš,podmazat će,podmazat ćemo,podmazat ćete,podmazat će,budem podmazao,budeš podmazao,bude podmazao,budemo podmazali,budete podmazali,budu podmazali,podmazao sam,podmazao si,podmazao je,podmazali smo,podmazali ste,podmazali su,bio sam podmazao,bio si podmazao,bio je podmazao,bili smo podmazali,bili ste podmazali,bili su podmazali,,,,,,,podmazah,podmaza,podmaza,podmazasmo,podmazaste,podmazaše,podmazao bih,podmazao bi,podmazao bi,podmazali bismo,podmazali biste,podmazali bi,bio bih podmazao,bio bi podmazao,bio bi podmazao,bili bismo podmazali,bili biste podmazali,bili bi podmazali,podmaži,podmažimo,podmažite
podmititi,to bribe,podmitim,podmitiš,podmiti,podmitimo,podmitite,podmite,podmitit ću,podmitit ćeš,podmitit će,podmitit ćemo,podmitit ćete,podmitit će,budem podmitio,budeš podmitio,bude podmitio,budemo podmitili,budete podmitili,budu podmitili,podmitio sam,podmitio si,podmitio je,podmitili smo,podmitili ste,podmitili su,bio sam podmitio,bio si podmitio,bio je podmitio,bili smo podmitili,bili ste podmitili,bili su podmitili,,,,,,,podmitih,podmiti,podmiti,podmitismo,podmitiste,podmitiše,podmitio bih,podmitio bi,podmitio bi,podmitili bismo,podmitili biste,podmitili bi,bio bih podmitio,bio bi podmitio,bio bi podmitio,bili bismo podmitili,bili biste podmitili,bili bi podmitili,podmiti,podmitimo,podmitite
podmićivati,to bribe,podmićujem,podmićuješ,podmićuje,podmićujemo,podmićujete,podmićuju,podmićivat ću,podmićivat ćeš,podmićivat će,podmićivat ćemo,podmićivat ćete,podmićivat će,budem podmićivao,budeš podmićivao,bude podmićivao,budemo podmićivali,budete podmićivali,budu podmićivali,podmićivao sam,podmićivao si,podmićivao je,podmićivali smo,podmićivali ste,podmićivali su,bio sam podmićivao,bio si podmićivao,bio je podmićivao,bili smo podmićivali,bili ste podmićivali,bili su podmićivali,podmićivah,podmićivaše,podmićivaše,podmićivasmo,podmićivaste,podmićivahu,,,,,,,podmićivao bih,podmićivao bi,podmićivao bi,podmićivali bismo,podmićivali biste,podmićivali bi,bio bih podmićivao,bio bi podmićivao,bio bi podmićivao,bili bismo podmićivali,bili biste podmićivali,bili bi podmićivali,podmićuj,podmićujmo,podmićujte
podneti,to bear,podnesem,podneseš,podnese,podnesemo,podnesete,podnesu,podnet ću,podnet ćeš,podnet će,podnet ćemo,podnet ćete,podnet će,budem podneo,budeš podneo,bude podneo,budemo podneli,budete podneli,budu podneli,podneo sam,podneo si,podneo je,podneli smo,podneli ste,podneli su,bio sam podneo,bio si podneo,bio je podneo,bili smo podneli,bili ste podneli,bili su podneli,,,,,,,podnesoh,podnese,podnese,podnesosmo,podnesoste,podnesoše,podneo bih,podneo bi,podneo bi,podneli bismo,podneli biste,podneli bi,bio bih podneo,bio bi podneo,bio bi podneo,bili bismo podneli,bili biste podneli,bili bi podneli,podnesi,podnesimo,podnesite
podnijeti,to bear,podnesem,podneseš,podnese,podnesemo,podnesete,podnesu,podnijet ću,podnijet ćeš,podnijet će,podnijet ćemo,podnijet ćete,podnijet će,budem podnio,budeš podnio,bude podnio,budemo podnijeli,budete podnijeli,budu podnijeli,podnio sam,podnio si,podnio je,podnijeli smo,podnijeli ste,podnijeli su,bio sam podnio,bio si podnio,bio je podnio,bili smo podnijeli,bili ste podnijeli,bili su podnijeli,,,,,,,podnesoh,podnese,podnese,podnesosmo,podnesoste,podnesoše,podnio bih,podnio bi,podnio bi,podnijeli bismo,podnijeli biste,podnijeli bi,bio bih podnio,bio bi podnio,bio bi podnio,bili bismo podnijeli,bili biste podnijeli,bili bi podnijeli,podnesi,podnesimo,podnesite
podrazumevati,to understand,podrazumevam,podrazumevaš,podrazumeva,podrazumevamo,podrazumevate,podrazumevaju,podrazumevat ću,podrazumevat ćeš,podrazumevat će,podrazumevat ćemo,podrazumevat ćete,podrazumevat će,budem podrazumevao,budeš podrazumevao,bude podrazumevao,budemo podrazumevali,budete podrazumevali,budu podrazumevali,podrazumevao sam,podrazumevao si,podrazumevao je,podrazumevali smo,podrazumevali ste,podrazumevali su,bio sam podrazumevao,bio si podrazumevao,bio je podrazumevao,bili smo podrazumevali,bili ste podrazumevali,bili su podrazumevali,podrazumevah,podrazumevaše,podrazumevaše,podrazumevasmo,podrazumevaste,podrazumevahu,,,,,,,podrazumevao bih,podrazumevao bi,podrazumevao bi,podrazumevali bismo,podrazumevali biste,podrazumevali bi,bio bih podrazumevao,bio bi podrazumevao,bio bi podrazumevao,bili bismo podrazumevali,bili biste podrazumevali,bili bi podrazumevali,podrazumevaj,podrazumevajmo,podrazumevajte
podrazumijevati,to imply,podrazumijevam,podrazumijevaš,podrazumijeva,podrazumijevamo,podrazumijevate,podrazumijevaju,podrazumijevat ću,podrazumijevat ćeš,podrazumijevat će,podrazumijevat ćemo,podrazumijevat ćete,podrazumijevat će,budem podrazumijevao,budeš podrazumijevao,bude podrazumijevao,budemo podrazumijevali,budete podrazumijevali,budu podrazumijevali,podrazumijevao sam,podrazumijevao si,podrazumijevao je,podrazumijevali smo,podrazumijevali ste,podrazumijevali su,bio sam podrazumijevao,bio si podrazumijevao,bio je podrazumijevao,bili smo podrazumijevali,bili ste podrazumijevali,bili su podrazumijevali,podrazumijevah,podrazumijevaše,podrazumijevaše,podrazumijevasmo,podrazumijevaste,podrazumijevahu,,,,,,,podrazumijevao bih,podrazumijevao bi,podrazumijevao bi,podrazumijevali bismo,podrazumijevali biste,podrazumijevali bi,bio bih podrazumijevao,bio bi podrazumijevao,bio bi podrazumijevao,bili bismo podrazumijevali,bili biste podrazumijevali,bili bi podrazumijevali,podrazumijevaj,podrazumijevajmo,podrazumijevajte
podrediti,to subordinate,podredim,podrediš,podredi,podredimo,podredite,podrede,podredit ću,podredit ćeš,podredit će,podredit ćemo,podredit ćete,podredit će,budem podredio,budeš podredio,bude podredio,budemo podredili,budete podredili,budu podredili,podredio sam,podredio si,podredio je,podredili smo,podredili ste,podredili su,bio sam podredio,bio si podredio,bio je podredio,bili smo podredili,bili ste podredili,bili su podredili,,,,,,,podredih,podredi,podredi,podredismo,podrediste,podrediše,podredio bih,podredio bi,podredio bi,podredili bismo,podredili biste,podredili bi,bio bih podredio,bio bi podredio,bio bi podredio,bili bismo podredili,bili biste podredili,bili bi podredili,podredi,podredimo,podredite
podrezati,to trim,podrežem,podrežeš,podreže,podrežemo,podrežete,podrežu,podrezat ću,podrezat ćeš,podrezat će,podrezat ćemo,podrezat ćete,podrezat će,budem podrezao,budeš podrezao,bude podrezao,budemo podrezali,budete podrezali,budu podrezali,podrezao sam,podrezao si,podrezao je,podrezali smo,podrezali ste,podrezali su,bio sam podrezao,bio si podrezao,bio je podrezao,bili smo podrezali,bili ste podrezali,bili su podrezali,,,,,,,podrezah,podreza,podreza,podrezasmo,podrezaste,podrezaše,podrezao bih,podrezao bi,podrezao bi,podrezali bismo,podrezali biste,podrezali bi,bio bih podrezao,bio bi podrezao,bio bi podrezao,bili bismo podrezali,bili biste podrezali,bili bi podrezali,podreži,podrežimo,podrežite
podrezivati,to trim,podrezujem,podrezuješ,podrezuje,podrezujemo,podrezujete,podrezuju,podrezivat ću,podrezivat ćeš,podrezivat će,podrezivat ćemo,podrezivat ćete,podrezivat će,budem podrezivao,budeš podrezivao,bude podrezivao,budemo podrezivali,budete podrezivali,budu podrezivali,podrezivao sam,podrezivao si,podrezivao je,podrezivali smo,podrezivali ste,podrezivali su,bio sam podrezivao,bio si podrezivao,bio je podrezivao,bili smo podrezivali,bili ste podrezivali,bili su podrezivali,podrezivah,podrezivaše,podrezivaše,podrezivasmo,podrezivaste,podrezivahu,,,,,,,podrezivao bih,podrezivao bi,podrezivao bi,podrezivali bismo,podrezivali biste,podrezivali bi,bio bih podrezivao,bio bi podrezivao,bio bi podrezivao,bili bismo podrezivali,bili biste podrezivali,bili bi podrezivali,podrezuj,podrezujmo,podrezujte
podrigivati,to belch,podrigujem,podriguješ,podriguje,podrigujemo,podrigujete,podriguju,podrigivat ću,podrigivat ćeš,podrigivat će,podrigivat ćemo,podrigivat ćete,podrigivat će,budem podrigivao,budeš podrigivao,bude podrigivao,budemo podrigivali,budete podrigivali,budu podrigivali,podrigivao sam,podrigivao si,podrigivao je,podrigivali smo,podrigivali ste,podrigivali su,bio sam podrigivao,bio si podrigivao,bio je podrigivao,bili smo podrigivali,bili ste podrigivali,bili su podrigivali,podrigivah,podrigivaše,podrigivaše,podrigivasmo,podrigivaste,podrigivahu,,,,,,,podrigivao bih,podrigivao bi,podrigivao bi,podrigivali bismo,podrigivali biste,podrigivali bi,bio bih podrigivao,bio bi podrigivao,bio bi podrigivao,bili bismo podrigivali,bili biste podrigivali,bili bi podrigivali,podriguj,podrigujmo,podrigujte
podrignuti,to belch,podrignem,podrigneš,podrigne,podrignemo,podrignete,podrignu,podrignut ću,podrignut ćeš,podrignut će,podrignut ćemo,podrignut ćete,podrignut će,budem podrignuo,budeš podrignuo,bude podrignuo,budemo podrignuli,budete podrignuli,budu podrignuli,podrignuo sam,podrignuo si,podrignuo je,podrignuli smo,podrignuli ste,podrignuli su,bio sam podrignuo,bio si podrignuo,bio je podrignuo,bili smo podrignuli,bili ste podrignuli,bili su podrignuli,,,,,,,podrignuh,podrignu,podrignu,podrignusmo,podrignuste,podrignuše,podrignuo bih,podrignuo bi,podrignuo bi,podrignuli bismo,podrignuli biste,podrignuli bi,bio bih podrignuo,bio bi podrignuo,bio bi podrignuo,bili bismo podrignuli,bili biste podrignuli,bili bi podrignuli,podrigni,podrignimo,podrignite
podrugivati,to mock somebody,podrugujem,podruguješ,podruguje,podrugujemo,podrugujete,podruguju,podrugivat ću,podrugivat ćeš,podrugivat će,podrugivat ćemo,podrugivat ćete,podrugivat će,budem podrugivao,budeš podrugivao,bude podrugivao,budemo podrugivali,budete podrugivali,budu podrugivali,podrugivao sam,podrugivao si,podrugivao je,podrugivali smo,podrugivali ste,podrugivali su,bio sam podrugivao,bio si podrugivao,bio je podrugivao,bili smo podrugivali,bili ste podrugivali,bili su podrugivali,podrugivah,podrugivaše,podrugivaše,podrugivasmo,podrugivaste,podrugivahu,,,,,,,podrugivao bih,podrugivao bi,podrugivao bi,podrugivali bismo,podrugivali biste,podrugivali bi,bio bih podrugivao,bio bi podrugivao,bio bi podrugivao,bili bismo podrugivali,bili biste podrugivali,bili bi podrugivali,podruguj,podrugujmo,podrugujte
podržati,to hold,podržim,podržiš,podrži,podržimo,podržite,podrže,podržat ću,podržat ćeš,podržat će,podržat ćemo,podržat ćete,podržat će,budem podržao,budeš podržao,bude podržao,budemo podržali,budete podržali,budu podržali,podržao sam,podržao si,podržao je,podržali smo,podržali ste,podržali su,bio sam podržao,bio si podržao,bio je podržao,bili smo podržali,bili ste podržali,bili su podržali,,,,,,,podržah,podrža,podrža,podržasmo,podržaste,podržaše,podržao bih,podržao bi,podržao bi,podržali bismo,podržali biste,podržali bi,bio bih podržao,bio bi podržao,bio bi podržao,bili bismo podržali,bili biste podržali,bili bi podržali,podrži,podržimo,podržite
podržavati,to hold,podržavam,podržavaš,podržava,podržavamo,podržavate,podržavaju,podržavat ću,podržavat ćeš,podržavat će,podržavat ćemo,podržavat ćete,podržavat će,budem podržavao,budeš podržavao,bude podržavao,budemo podržavali,budete podržavali,budu podržavali,podržavao sam,podržavao si,podržavao je,podržavali smo,podržavali ste,podržavali su,bio sam podržavao,bio si podržavao,bio je podržavao,bili smo podržavali,bili ste podržavali,bili su podržavali,podržavah,podržavaše,podržavaše,podržavasmo,podržavaste,podržavahu,,,,,,,podržavao bih,podržavao bi,podržavao bi,podržavali bismo,podržavali biste,podržavali bi,bio bih podržavao,bio bi podržavao,bio bi podržavao,bili bismo podržavali,bili biste podržavali,bili bi podržavali,podržavaj,podržavajmo,podržavajte
podsetiti,to remind,podsetim,podsetiš,podseti,podsetimo,podsetite,podsete,podsetit ću,podsetit ćeš,podsetit će,podsetit ćemo,podsetit ćete,podsetit će,budem podsetio,budeš podsetio,bude podsetio,budemo podsetili,budete podsetili,budu podsetili,podsetio sam,podsetio si,podsetio je,podsetili smo,podsetili ste,podsetili su,bio sam podsetio,bio si podsetio,bio je podsetio,bili smo podsetili,bili ste podsetili,bili su podsetili,,,,,,,podsetih,podseti,podseti,podsetismo,podsetiste,podsetiše,podsetio bih,podsetio bi,podsetio bi,podsetili bismo,podsetili biste,podsetili bi,bio bih podsetio,bio bi podsetio,bio bi podsetio,bili bismo podsetili,bili biste podsetili,bili bi podsetili,podseti,podsetimo,podsetite
podsećati,to remind,podsećam,podsećaš,podseća,podsećamo,podsećate,podsećaju,podsećat ću,podsećat ćeš,podsećat će,podsećat ćemo,podsećat ćete,podsećat će,budem podsećao,budeš podsećao,bude podsećao,budemo podsećali,budete podsećali,budu podsećali,podsećao sam,podsećao si,podsećao je,podsećali smo,podsećali ste,podsećali su,bio sam podsećao,bio si podsećao,bio je podsećao,bili smo podsećali,bili ste podsećali,bili su podsećali,podsećah,podsećaše,podsećaše,podsećasmo,podsećaste,podsećahu,,,,,,,podsećao bih,podsećao bi,podsećao bi,podsećali bismo,podsećali biste,podsećali bi,bio bih podsećao,bio bi podsećao,bio bi podsećao,bili bismo podsećali,bili biste podsećali,bili bi podsećali,podsećaj,podsećajmo,podsećajte
podsjetiti,to remind,podsjetim,podsjetiš,podsjeti,podsjetimo,podsjetite,podsjete,podsjetit ću,podsjetit ćeš,podsjetit će,podsjetit ćemo,podsjetit ćete,podsjetit će,budem podsjetio,budeš podsjetio,bude podsjetio,budemo podsjetili,budete podsjetili,budu podsjetili,podsjetio sam,podsjetio si,podsjetio je,podsjetili smo,podsjetili ste,podsjetili su,bio sam podsjetio,bio si podsjetio,bio je podsjetio,bili smo podsjetili,bili ste podsjetili,bili su podsjetili,,,,,,,podsjetih,podsjeti,podsjeti,podsjetismo,podsjetiste,podsjetiše,podsjetio bih,podsjetio bi,podsjetio bi,podsjetili bismo,podsjetili biste,podsjetili bi,bio bih podsjetio,bio bi podsjetio,bio bi podsjetio,bili bismo podsjetili,bili biste podsjetili,bili bi podsjetili,podsjeti,podsjetimo,podsjetite
podsjećati,to remind,podsjećam,podsjećaš,podsjeća,podsjećamo,podsjećate,podsjećaju,podsjećat ću,podsjećat ćeš,podsjećat će,podsjećat ćemo,podsjećat ćete,podsjećat će,budem podsjećao,budeš podsjećao,bude podsjećao,budemo podsjećali,budete podsjećali,budu podsjećali,podsjećao sam,podsjećao si,podsjećao je,podsjećali smo,podsjećali ste,podsjećali su,bio sam podsjećao,bio si podsjećao,bio je podsjećao,bili smo podsjećali,bili ste podsjećali,bili su podsjećali,podsjećah,podsjećaše,podsjećaše,podsjećasmo,podsjećaste,podsjećahu,,,,,,,podsjećao bih,podsjećao bi,podsjećao bi,podsjećali bismo,podsjećali biste,podsjećali bi,bio bih podsjećao,bio bi podsjećao,bio bi podsjećao,bili bismo podsjećali,bili biste podsjećali,bili bi podsjećali,podsjećaj,podsjećajmo,podsjećajte
podstaviti,to line,podstavim,podstaviš,podstavi,podstavimo,podstavite,podstave,podstavit ću,podstavit ćeš,podstavit će,podstavit ćemo,podstavit ćete,podstavit će,budem podstavio,budeš podstavio,bude podstavio,budemo podstavili,budete podstavili,budu podstavili,podstavio sam,podstavio si,podstavio je,podstavili smo,podstavili ste,podstavili su,bio sam podstavio,bio si podstavio,bio je podstavio,bili smo podstavili,bili ste podstavili,bili su podstavili,,,,,,,podstavih,podstavi,podstavi,podstavismo,podstaviste,podstaviše,podstavio bih,podstavio bi,podstavio bi,podstavili bismo,podstavili biste,podstavili bi,bio bih podstavio,bio bi podstavio,bio bi podstavio,bili bismo podstavili,bili biste podstavili,bili bi podstavili,podstavi,podstavimo,podstavite
podstrići,to trim,podstrižem,podstrižeš,podstriže,podstrižemo,podstrižete,podstrigu,podstrići ću,podstrići ćeš,podstrići će,podstrići ćemo,podstrići ćete,podstrići će,budem podstrigao,budeš podstrigao,bude podstrigao,budemo podstrigli,budete podstrigli,budu podstrigli,podstrigao sam,podstrigao si,podstrigao je,podstrigli smo,podstrigli ste,podstrigli su,bio sam podstrigao,bio si podstrigao,bio je podstrigao,bili smo podstrigli,bili ste podstrigli,bili su podstrigli,,,,,,,podstrigoh,podstriže,podstriže,podstrigosmo,podstrigoste,podstrigoše,podstrigao bih,podstrigao bi,podstrigao bi,podstrigli bismo,podstrigli biste,podstrigli bi,bio bih podstrigao,bio bi podstrigao,bio bi podstrigao,bili bismo podstrigli,bili biste podstrigli,bili bi podstrigli,podstrizi,podstrizimo,podstrizite
podudariti,to match,podudarim,podudariš,podudari,podudarimo,podudarite,podudare,podudarit ću,podudarit ćeš,podudarit će,podudarit ćemo,podudarit ćete,podudarit će,budem podudario,budeš podudario,bude podudario,budemo podudarili,budete podudarili,budu podudarili,podudario sam,podudario si,podudario je,podudarili smo,podudarili ste,podudarili su,bio sam podudario,bio si podudario,bio je podudario,bili smo podudarili,bili ste podudarili,bili su podudarili,,,,,,,podudarih,podudari,podudari,podudarismo,podudariste,podudariše,podudario bih,podudario bi,podudario bi,podudarili bismo,podudarili biste,podudarili bi,bio bih podudario,bio bi podudario,bio bi podudario,bili bismo podudarili,bili biste podudarili,bili bi podudarili,podudari,podudarimo,podudarite
